Table 1 from "Electron Radiative Transitions in a Coulomb Field", W.J.Karzas & R.Latter, Astrophysical Journal Supplement, vol. 6, p.167, May 1961
doi:10.1086/190063
© AAS. Reproduced with permission

E	hν	n=1	hν	n=2	hν	n=3	hν	n=4	hν	n=5		n=6		n=7		n=8		n=10
.1000D-9	.1235D-1	.9576D0																
.1111D-10	.1235D-1	.9576D0																
.1000D-11	.1235D-1	.9576D0																
.1111D-12	.1235D-1	.9576D0																
.1000D-13	.1235D-1	.9576D0																
.1111D-14	.1235D-1	.9576D0																
.1000D-15	.1235D-1	.9576D0																
E	hν	n=11		n=12		n=13		n=14		n=15								
.1000D13	.1000D13	.6928D-5	.1000D13	.6928D-5	.1000D13	.6928D-5	.1000D13	.6928D-5	.1000D13	.6928D-5								
.1111D12	.1111D12	.2078D-4	.1111D12	.2078D-4	.1111D12	.2078D-4	.1111D12	.2078D-4	.1111D12	.2078D-4								
.1000D11	.1000D11	.6928D-4	.1000D11	.6928D-4	.1000D11	.6928D-4	.1000D11	.6928D-4	.1000D11	.6928D-4								
.1111D10	.1111D10	.2078D-3	.1111D10	.2078D-3	.1111D10	.2078D-3	.1111D10	.2078D-3	.1111D10	.2078D-3								
.1000D9	.1000D9	.6926D-3	.1000D9	.6926D-3	.1000D9	.6926D-3	.1000D9	.6926D-3	.1000D9	.6926D-3								
.1111D8	.1111D8	.2076D-2	.1111D8	.2076D-2	.1111D8	.2076D-2	.1111D8	.2076D-2	.1111D8	.2076D-2								
.1000D7	.1000D7	.6906D-2	.1000D7	.6906D-2	.1000D7	.6906D-2	.1000D7	.6906D-2	.1000D7	.6906D-2								
.1111D6	.1111D6	.2059D-1	.1111D6	.2059D-1	.1111D6	.2059D-1	.1111D6	.2059D-1	.1111D6	.2059D-1								
.1000D5	.1000D5	.6715D-1	.1000D5	.6715D-1	.1000D5	.6715D-1	.1000D5	.6715D-1	.1000D5	.6715D-1								
.1111D4	.1111D4	.1894D0	.1111D4	.1894D0	.1111D4	.1894D0	.1111D4	.1894D0	.1111D4	.1894D0								
.1000D3	.1000D3	.5146D0	.1000D3	.5146D0	.1000D3	.5146D0	.1000D3	.5146D0	.1000D3	.5146D0								
.1111D2	.1112D2	.9379D0	.1112D2	.9379D0	.1112D2	.9380D0	.1112D2	.9380D0	.1112D2	.9380D0								
.1000D1	.1008D1	.1102D1	.1007D1	.1102D1	.1006D1	.1102D1	.1005D1	.1103D1	.1004D1	.1103D1								
.1111D0	.1194D0	.1060D1	.1181D0	.1062D1	.1170D0	.1063D1	.1162D0	.1064D1	.1156D0	.1064D1								
.1000D-1	.1826D-1	.1002D1	.1694D-1	.1005D1	.1592D-1	.1008D1	.1510D-1	.1011D1	.1444D-1	.1014D1								
.1111D-2	.9376D-2	.9703D0	.8056D-2	.9732D0	.7028D-2	.9758D0	.6213D-2	.9780D0	.5556D-2	.9803D0								
.1000D-3	.8364D-2	.9639D0	.7044D-2	.9661D0	.6017D-2	.9681D0	.5202D-2	.9698D0	.4544D-2	.9714D0								
.1111D-4	.8276D-2	.9633D0	.6956D-2	.9654D0	.5928D-2	.9673D0	.5113D-2	.9690D0	.4456D-2	.9704D0								
.1000D-5	.8265D-2	.9632D0	.6945D-2	.9654D0	.5918D-2	.9672D0	.5103D-2	.9689D0	.4445D-2	.9703D0								
.1111D-6	.8265D-2	.9632D0	.6945D-2	.9653D0	.5917D-2	.9672D0	.5102D-2	.9689D0	.4445D-2	.9703D0								
.1000D-7	.8264D-2	.9632D0	.6944D-2	.9653D0	.5917D-2	.9672D0	.5102D-2	.9689D0	.4444D-2	.9703D0								
.1111D-8	.8264D-2	.9632D0	.6944D-2	.9653D0	.5917D-2	.9672D0	.5103D-2	.9689D0	.4444D-2	.9703D0								
.1000D-9	.8264D-2	.9632D0	.6944D-2	.9653D0	.5917D-2	.9672D0	.5103D-2	.9689D0	.4444D-2	.9703D0								
.1111D-10	.8264D-2	.9632D0	.6944D-2	.9653D0	.5917D-2	.9672D0	.5103D-2	.9689D0	.4444D-2	.9703D0								
.1000D-11	.8264D-2	.9632D0	.6944D-2	.9653D0	.5917D-2	.9672D0	.5103D-2	.9689D0	.4444D-2	.9703D0								
.1111D-12	.8264D-2	.9632D0	.6944D-2	.9653D0	.5917D-2	.9672D0	.5103D-2	.9689D0	.4444D-2	.9703D0								
.1000D-13	.8264D-2	.9632D0	.6944D-2	.9653D0	.5917D-2	.9672D0	.5103D-2	.9689D0	.4444D-2	.9703D0								
.1111D-14	.8264D-2	.9632D0	.6944D-2	.9653D0	.5917D-2	.9672D0	.5103D-2	.9689D0	.4444D-2	.9703D0								
.1000D-15	.8264D-2	.9632D0	.6944D-2	.9653D0	.5917D-2	.9672D0	.5103D-2	.9689D0	.4444D-2	.9703D0								
